"RANK","COMPANY","CITY","STATE","2019 RANK","WEBSITE","PRIMARY OPERATION","REVENUE","2018 REVENUE","LEASED TRUCKS","OWNED TRUCKS","TOTAL TRUCKS","LEASED TRACTORS","OWNED TRACTORS","TOTAL TRACTORS","LEASED TRAILERS","OWNED TRAILERS","TOTAL TRAILERS","COMPANY DRIVERS","INDEPENDENT CONTRACTORS","TOTAL DRIVERS"
"1","UPS/United Parcel Service, Inc.","Atlanta","GA","1","www.ups.com","Packages","49172000000","46299000000","45","99453","99498","1255","32994","34249","2418","118450","120859","","","127245"
"2","FedEx Corp.","Memphis","TN","2","www.fedex.com","Packages","45537000000","41718000000","61031","31422","92453","13737","21361","35098","67","129646","129713","","","185413"
"3","J.B. Hunt Transport, Inc.","Lowell","AR","3","www.jbhunt.com","General Freight","9165000000","8615000000","186","583","769","1704","15786","17490","6531","110796","117327","","","20835"
"4","Knight-Swift Holdings","Phoenix","AZ","4","www.knight-swift.com","General Freight","4843950000","5344066000","0","0","0","1285","17177","18462","15232","52340","67572","17141","2452","19593"
"5","YRC Worldwide Inc.","Overland Park","KS","5","www.yrcw.com","General Freight","4871200000","5092000000","140","404","544","3860","9816","13676","12010","31612","43622","","","17653"
"6","XPO Logistics, Inc.","Greenwich","CT","6","www.xpo.com","General Freight","7740000000","8329000000","9","194","203","2472","8321","10793","1239","25491","26730","","","15807"
"7","Schneider","Green Bay","WI","7","www.schneider.com","General Freight","4747000000","4977000000","0","59","59","3131","8795","11926","1","34036","34037","","","13704"
"8","TFI International","Saint-Laurent","QC","10","www.tfiintl.com","General Freight","5178864000","3920635000","0","0","0","1176","5624","6800","413","24131","24544","9809","8574","18383"
"9","Landstar System, Inc.","Jacksonville","FL","8","www.landstar.com","General Freight","4084577000","4615144000","236","0","236","10007","0","10007","4334","12733","17067","0","10243","10243"
"10","Old Dominion Freight Line, Inc.","Thomasville","NC","9","www.odfl.com","General Freight","4109111000","4043695000","0","139","139","0","9406","9406","0","36893","36893","9513","0","9513"
